report_date,noncomm_long,noncomm_short,net_long,open_interest
1997-01-14,14499,4038,10461,62166
1997-01-21,14955,3906,11049,61429
1997-01-28,15136,4120,11016,61523
1997-02-04,13053,3701,9352,56897
1997-02-11,13350,4432,8918,59710
1997-02-18,13088,4119,8969,61841
1997-02-25,14916,3103,11813,61457
1997-03-04,17115,3048,14067,64518
1997-03-11,15244,2818,12426,61314
1997-03-18,14736,2654,12082,61205
1997-03-25,15420,2487,12933,61164
1997-04-01,14127,3354,10773,57671
1997-04-08,10578,2889,7689,53962
1997-04-15,10018,3039,6979,54359
1997-04-22,9346,2593,6753,53509
1997-04-29,13926,1993,11933,53834
1997-05-06,13634,2491,11143,54811
1997-05-13,16936,3700,13236,59877
1997-05-20,23222,5165,18057,66573
1997-05-27,23442,4924,18518,64794
1997-06-03,23785,4140,19645,64614
1997-06-10,23564,3641,19923,65519
1997-06-17,22530,3438,19092,65644
1997-06-24,17838,2397,15441,59026
1997-07-01,15406,2949,12457,53200
1997-07-08,16033,3539,12494,53454
1997-07-15,13329,8063,5266,53745
1997-07-22,13871,7268,6603,51885
1997-07-29,13376,5199,8177,47775
1997-08-05,14228,4843,9385,47000
1997-08-12,14529,5460,9069,47078
1997-08-19,13043,9337,3706,49335
1997-08-26,11236,10343,893,49334
1997-09-02,11031,11494,-463,47362
1997-09-09,10834,11573,-739,48244
1997-09-16,12145,13881,-1736,56170
1997-09-23,13010,11690,1320,55403
1997-09-30,11554,8875,2679,52735
1997-10-07,12456,11338,1118,54376
1997-10-14,11989,10009,1980,54306
1997-10-21,11848,9177,2671,57954
1997-10-28,12780,11684,1096,66221
1997-11-04,13321,13095,226,67483
1997-11-11,12223,13295,-1072,68834
1997-11-18,13229,16574,-3345,74949
1997-11-25,12466,16285,-3819,73138
1997-12-02,11882,16423,-4541,67131
1997-12-09,11687,16653,-4966,68290
1997-12-16,12376,17558,-5182,71845
1997-12-23,12432,16719,-4287,75027
1997-12-30,12526,17553,-5027,75049
1998-01-06,12192,17360,-5168,73255
1998-01-13,12679,16806,-4127,76416
1998-01-20,11690,14320,-2630,74552
1998-01-27,10678,11593,-915,75465
1998-02-03,13220,12003,1217,77215
1998-02-10,12278,16705,-4427,79306
1998-02-17,12284,17914,-5630,80749
1998-02-24,10976,19907,-8931,79523
1998-03-03,11112,14203,-3091,72700
1998-03-10,11364,11925,-561,72691
1998-03-17,14323,9977,4346,78156
1998-03-24,13166,9245,3921,78388
1998-03-31,13260,9860,3400,76591
1998-04-07,9617,11716,-2099,74390
1998-04-14,11623,9628,1995,77351
1998-04-21,14924,8982,5942,79242
1998-04-28,18684,7083,11601,81331
1998-05-05,17118,5837,11281,75153
1998-05-12,11330,6783,4547,68510
1998-05-19,11056,12090,-1034,72522
1998-05-26,10110,13490,-3380,73417
1998-06-02,10185,15064,-4879,74209
1998-06-09,9916,13917,-4001,73021
1998-06-16,9118,15548,-6430,73518
1998-06-23,6714,13063,-6349,70878
1998-06-30,6662,14490,-7828,67827
1998-07-07,7688,19239,-11551,73935
1998-07-14,7337,15387,-8050,70149
1998-07-21,7095,8461,-1366,65094
1998-07-28,11751,7483,4268,67427
1998-08-04,9027,6821,2206,61773
1998-08-11,8495,10175,-1680,65055
1998-08-18,8814,11892,-3078,68551
1998-08-25,8104,13014,-4910,68575
1998-09-01,9888,14543,-4655,68300
1998-09-08,8828,10197,-1369,65443
1998-09-15,10639,8910,1729,65815
1998-09-22,8274,9292,-1018,64768
1998-09-29,8044,7904,140,61878
1998-10-06,10008,14476,-4468,66375
1998-10-13,10494,16665,-6171,67091
1998-10-20,10823,11921,-1098,65714
1998-10-27,11630,17344,-5714,70954
1998-11-03,12084,18265,-6181,75454
1998-11-10,10183,15272,-5089,70435
1998-11-17,10779,21983,-11204,77180
1998-11-24,9879,21109,-11230,75233
1998-12-01,10415,23629,-13214,73252
1998-12-08,11922,29464,-17542,79972
1998-12-15,11774,31701,-19927,84231
1998-12-22,11915,30343,-18428,83078
1998-12-29,10720,26589,-15869,79503
